name,category,description,price,sku,stock_quantity
Pro V1 Golf Balls,Golf Accessories,"Premium golf balls with exceptional distance, consistent flight, and Drop-and-Stop control.",49.99,BALL-001,100
TaylorMade Driver,Golf Accessories,"High-performance driver featuring advanced aerodynamics and adjustable weighting.",499.99,DRIV-001,15
Tour Visor,Golf Apparel,"Lightweight tour visor with moisture-wicking sweatband and adjustable closure.",24.99,VIS-002,30
Golf Gloves Set,Golf Accessories,"Set of 3 premium golf gloves with superior grip and comfort.",34.99,GLOV-002,45
Cart Bag Deluxe,Golf Bags,"Spacious cart bag with 14-way divider and multiple storage pockets.",199.99,BAG-002,12
Waterproof Golf Shoes,Golf Shoes,"All-weather golf shoes with superior traction and comfort.",149.99,SHOE-002,22
Performance Polo Black,Golf Apparel,"Moisture-wicking polo in classic black design.",59.99,POLO-002,35
Stance Golf Socks,Golf Accessories,"Performance golf socks with arch support and moisture management.",19.99,SOCK-001,50
Lightweight Stand Bag,Golf Bags,"Ultra-light stand bag with dual straps and ample storage.",179.99,BAG-003,18
Golf GPS Watch,Golf Accessories,"Advanced GPS golf watch with course mapping and shot tracking.",299.99,GPS-001,10
